data,labeldata
Go to Living_Room next find a person nearby get Chip_Star from Living_Sofa .,Move ( Living_Room ) Find ( person ) Move ( Living_Sofa ) Grasp ( Chip_Star )
Well go to Living_Table take sugar finally come back .,Move ( Living_Table ) Grasp ( sugar ) Move ( HERE )
Go to Kitchen_Table get Cup_Noodle exit from Corridor okay .,Move ( Kitchen_Table ) Find ( Cup_Noodle Kitchen_Table ) Grasp ( Cup_Noodle ) Move ( Corridor )
Go to bed_room take Long_Potato put it on Living_Sofa please .,Move ( bed_room ) Find ( Long_Potato bed_room ) Grasp ( Long_Potato ) Move ( Living_Sofa ) Place ( Long_Potato Living_Sofa )
Go to Reception_Table move to Side_Table then leave the apartment .,Move ( Reception_Table ) Move ( Side_Table ) Move ( apartment )
Would you move to Sofa Grasp Cup_Star and come back .,Move ( Sofa ) Grasp ( Cup_Star ) Move ( HERE )
Move to Living_Sofa and detect rubik's_cube get it .,Move ( Living_Sofa ) Find ( rubik's_cube Living_Sofa ) Grasp ( rubik's_cube )
Would you move to Dining_Table get empty_plastic_bottle bring it to Reception_Table .,Move ( Dining_Table ) Find ( empty_plastic_bottle Dining_Table ) Grasp ( empty_plastic_bottle ) Move ( Reception_Table )
Call a person then ask for an order get salt from Sofa .,Say ( person ) Listen ( salt ) Move ( Sofa ) Find ( salt Sofa ) Grasp ( salt ) Move ( salt ) Place ( salt Sofa ) 
Go to Side_Table go to Dining_Room and exit the apartment .,Move ( Side_Table ) Move ( Side_Table ) Move ( apartment )
Go to Kitchen_Room move to Kitchen_Table finally leave the apartment .,Move ( Kitchen_Room ) Move ( Kitchen_Table ) Move ( apartment )
Would you go to Dining_Table take apple bring it to Living_Sofa .,Move ( Dining_Table ) Find ( apple Dining_Table ) Grasp ( apple ) Move ( Living_Sofa )
Would you move to Kitchen_Table Grasp soysauce and come back .,Move ( Kitchen_Table ) Grasp ( soysauce ) Move ( HERE )
Go to Living_Table then detect Strawberry_Juice take it .,Move ( Living_Table ) Find ( Strawberry_Juice Living_Table ) Grasp ( Strawberry_Juice ) Move ( Strawberry_Juice )
Go to Corridor take twin_bell_alarm_clock place it on Sofa okay .,Move ( Corridor ) Find ( twin_bell_alarm_clock Corridor ) Grasp ( twin_bell_alarm_clock ) Move ( Sofa )
Would you bring soysauce from Living_Table move to Dining_Sofa go to Living_Room .,Move ( Living_Table ) Find ( soysauce Living_Table ) Move ( Dining_Sofa ) Move ( Living_Room )
Would you go to Sofa get Red_Potato carry it to Dining_Sofa .,Move ( Sofa ) Find ( Red_Potato Sofa ) Grasp ( Red_Potato ) Move ( Dining_Sofa )
Go to kitchen go to Dining_Sofa and exit from Corridor .,Move ( kitchen ) Move ( Dining_Sofa ) Move ( Corridor )
Would you move to Living_Sofa Grasp toy_penguin and come back .,Move ( Living_Sofa ) Grasp ( toy_penguin ) Move ( HERE )
Go to Dining_Table find a person nearby er follow a person .,Move ( Dining_Table ) Find ( person Dining_Table ) Follow ( person )
Go to Kitchen_Room find a person nearby finally follow a person .,Move ( Kitchen_Room ) Find ( person Kitchen_Room ) Follow ( person )
Go to Bar take empty_plastic_bottle put it on Reception_Table okay .,Move ( Bar ) Grasp ( empty_plastic_bottle ) Move ( Reception_Table ) Place ( empty_plastic_bottle Bar )
Go to Kitchen_Table Grasp rubik's_cube leave the apartment please .,Move ( Kitchen_Table ) Grasp ( rubik's_cube ) Move ( apartment )
Go to Kitchen_Table take empty_ketchup put it on Sofa okay .,Move ( Kitchen_Table ) Grasp ( empty_ketchup ) Move ( Sofa ) Place ( empty_ketchup Kitchen_Table )
Well go to Sofa take Bleach bring it to Living_Table .,Move ( Sofa ) Find ( Bleach Sofa ) Grasp ( Bleach ) Move ( Living_Table )
Go to lobby then find a person nearby bring white_cup from Kitchen_Table .,Move ( lobby ) Find ( person lobby ) Move ( Kitchen_Table ) Grasp ( white_cup )
Well go to Dining_Sofa take filled_ketchup bring it to Dining_Table .,Move ( Dining_Sofa ) Find ( filled_ketchup Dining_Sofa ) Grasp ( filled_ketchup ) Move ( Dining_Table )
Go to bed_room find a person nearby finally follow a person .,Move ( bed_room ) Find ( person bed_room ) Follow ( person )
Go to Living_Sofa take Brown_Tea leave the apartment please .,Move ( Living_Sofa ) Grasp ( Brown_Tea ) Move ( apartment )
Move to Kitchen_Table get sugar place it on Living_Table okay .,Move ( Kitchen_Table ) Find ( sugar Kitchen_Table ) Grasp ( sugar ) Move ( Living_Table ) Place ( sugar Kitchen_Table )
Well go to Dining_Sofa take Cup_Noodle finally come back .,Move ( Dining_Sofa ) Grasp ( Cup_Noodle ) Move ( HERE )
Go to Living_Room Grasp spray_bottle throw it into Dustbin okay .,Move ( Living_Room ) Find ( spray_bottle Living_Room ) Grasp ( spray_bottle ) Move ( Dustbin ) Place ( spray_bottle Dustbin ) 
Well get Red_Potato from Dining_Table go to Living_Room go to lobby .,Move ( Dining_Table ) Find ( Red_Potato Dining_Table ) Grasp ( Red_Potato ) Move ( Living_Room ) Move ( lobby )
Go to lobby next find Egg_Soup Grasp it .,Move ( lobby ) Find ( Egg_Soup lobby ) Grasp ( Egg_Soup )
Go to Kitchen_Room and find a person nearby bring filled_plastic_bottle from Living_Table .,Move ( Kitchen_Room ) Find ( person Kitchen_Room ) Move ( Living_Table ) Grasp ( filled_plastic_bottle ) Move ( person )
Can you go to bed_room Grasp toy_penguin bring it to Reception_Table .,Move ( bed_room ) Find ( toy_penguin bed_room ) Grasp ( toy_penguin ) Move ( Reception_Table ) Find ( toy_penguin Reception_Table ) Grasp ( toy_penguin ) Move ( bed_room )
Go to Living_Table find a person nearby finally follow a person .,Move ( Living_Table ) Find ( person Living_Table ) Follow ( person )
Go to Corridor er find a person nearby bring white_cup from Living_Table .,Move ( Corridor ) Find ( person Corridor ) Move ( Living_Table ) Grasp ( white_cup )
Go to Kitchen_Room then find a person nearby bring camera from Bar .,Move ( Kitchen_Room ) Find ( person Kitchen_Room ) Move ( Bar ) Grasp ( camera )
Move to Reception_Table next detect Dish_Cleaner get it .,Move ( Reception_Table ) Find ( Dish_Cleaner Reception_Table ) Grasp ( Dish_Cleaner )
Go to Corridor next find Cloth_Cleaner take it .,Move ( Corridor ) Find ( Cloth_Cleaner Corridor ) Grasp ( Cloth_Cleaner ) 
Go to Corridor next find sauce Grasp it .,Move ( Corridor ) Find ( sauce Corridor ) Grasp ( sauce )
Go to Visitor_Room next find toy_duck Grasp it .,Move ( Visitor_Room ) Find ( toy_duck Visitor_Room ) Grasp ( toy_duck )
Can you move to Sofa get Cup_Noodle then come back .,Move ( Sofa ) Grasp ( Cup_Noodle ) Move ( HERE )
Go to Sofa go to Living_Room and exit the apartment .,Move ( Sofa ) Move ( Sofa ) Move ( apartment )
Well move to Bar get Japanese_Tea and come back .,Move ( Bar ) Grasp ( Japanese_Tea ) Move ( Bar ) Grasp ( Japanese_Tea ) Move ( HERE )
Go to Living_Sofa and find a person nearby bring Cloth_Cleaner from Kitchen_Table .,Move ( Living_Sofa ) Find ( Cloth_Cleaner Living_Sofa ) Grasp ( Cloth_Cleaner ) Find ( pesron Living_Sofa ) Plcae ( Cloth_Cleaner PERSON )
Go to Bar Grasp Cloth_Cleaner leave the apartment please .,Move ( Bar ) Grasp ( Cloth_Cleaner ) Move ( apartment )
Go to lobby move to Living_Table then leave the apartment .,Move ( lobby ) Move ( Living_Table ) Move ( apartment )
Go to lobby Grasp Strawberry_Juice throw it into Dustbin okay .,Move ( lobby ) Find ( Strawberry_Juice lobby ) Grasp ( Strawberry_Juice ) Move ( Dustbin ) Place ( Strawberry_Juice Dustbin ) 
Well get sauce from Reception_Table go to Kitchen_Room go to Visitor_Room .,Move ( Reception_Table ) Find ( sauce Reception_Table ) Grasp ( sauce ) Move ( Kitchen_Room ) Move ( Visitor_Room )
Would you go to Living_Sofa take toy_car er come back .,Move ( Living_Sofa ) Find ( toy_car Living_Sofa ) Grasp ( toy_car ) Move ( HERE )
Go to Dining_Sofa move to Reception_Table then leave the apartment .,Move ( Dining_Sofa ) Move ( Reception_Table ) Move ( apartment )
Go to Dining_Room and find a person nearby bring empty_ketchup from Living_Sofa .,Move ( Dining_Room ) Find ( person Dining_Room ) Move ( Living_Sofa ) Grasp ( empty_ketchup ) Move ( person )
Would you go to Sofa get Chip_Star carry it to Side_Table .,Move ( Sofa ) Find ( Chip_Star Sofa ) Grasp ( Chip_Star ) Move ( Side_Table )
Can you go to Dining_Room Grasp Strawberry_Juice bring it to Side_Table .,Move ( Dining_Room ) Find ( Strawberry_Juice Dining_Room ) Grasp ( Strawberry_Juice ) Move ( Side_Table ) Find ( Strawberry_Juice Side_Table ) Grasp ( Strawberry_Juice ) Move ( Dining_Room )
Move to Living_Table find a person nearby then follow a person .,Move ( Living_Table ) Find ( person Living_Table ) Follow ( pesron )
Can you go to bed_room Grasp empty_plastic_bottle bring it to Side_Table .,Move ( bed_room ) Find ( empty_plastic_bottle bed_room ) Grasp ( empty_plastic_bottle ) Move ( Side_Table ) Find ( empty_plastic_bottle Side_Table ) Grasp ( empty_plastic_bottle ) Move ( bed_room )
Would you go to Bar take salt er come back .,Move ( Bar ) Find ( salt Bar ) Grasp ( salt ) Move ( HERE )
Move to Dining_Sofa get bell_pepper exit from Kitchen_Room okay .,Move ( Dining_Sofa ) Find ( bell_pepper Dining_Sofa ) Grasp ( bell_pepper ) Move ( Kitchen_Room )
Go to Kitchen_Room get camera throw it into Dustbin please .,Move ( Kitchen_Room ) Find ( camera Kitchen_Room ) Grasp ( camera ) Move ( Dustbin ) Place ( camera Dustbin )
Go to Kitchen_Room next find ground_pepper Grasp it .,Move ( Kitchen_Room ) Find ( ground_pepper Kitchen_Room ) Grasp ( ground_pepper )
Would you move to Dining_Sofa take Blue_Potato then come back .,Move ( Dining_Sofa ) Find ( Blue_Potato Dining_Sofa ) Grasp ( Blue_Potato ) Move ( HERE )
Go to Sofa Grasp Bath_Cleaner leave the apartment please .,Move ( Sofa ) Grasp ( Bath_Cleaner ) Move ( apartment )
Move to Dining_Table and detect camera get it .,Move ( Dining_Table ) Find ( camera Dining_Table ) Grasp ( camera )
Go to Dining_Room Grasp Bleach place it on Dining_Sofa okay .,Move ( Dining_Room ) Grasp ( Bleach ) Move ( Dining_Sofa ) Place ( Bleach Dining_Sofa )
Would you go to Dining_Room Grasp soysauce finally come back .,Move ( Dining_Room ) Find ( soysauce Dining_Room ) Grasp ( soysauce ) Move ( HERE )
Would you go to Dining_Sofa take Cup_Noodle er come back .,Move ( Dining_Sofa ) Find ( Cup_Noodle Dining_Sofa ) Grasp ( Cup_Noodle ) Move ( HERE )
Go to Dining_Room Grasp Brown_Tea place it on Dining_Table okay .,Move ( Dining_Room ) Grasp ( Brown_Tea ) Move ( Dining_Table ) Place ( Brown_Tea Dining_Table )
Would you go to bed_room Grasp Blue_Potato finally come back .,Move ( bed_room ) Find ( Blue_Potato bed_room ) Grasp ( Blue_Potato ) Move ( HERE )
Go to Dining_Table take toy_duck put it on Living_Table please .,Move ( Dining_Table ) Find ( toy_duck Dining_Table ) Grasp ( toy_duck ) Plcae ( toy_duck Living_Table )
Go to Kitchen_Table take nursing_bottle put it on Sofa please .,Move ( Kitchen_Table ) Find ( nursing_bottle Kitchen_Table ) Grasp ( nursing_bottle ) Plcae ( nursing_bottle Sofa )
Go to Sofa then detect Red_Tea take it .,Move ( Sofa ) Find ( Red_Tea Sofa ) Grasp ( Red_Tea ) Move ( Red_Tea )
Go to Sofa find a person nearby er follow a person .,Move ( Sofa ) Find ( person Sofa ) Follow ( person )
Can you go to kitchen get salt then come back .,Move ( kitchen ) Find ( salt kitchen ) Grasp ( salt ) Move ( HERE )
Would you go to Living_Table get Japanese_Dressing carry it to Dining_Sofa .,Move ( Living_Table ) Find ( Japanese_Dressing Living_Table ) Grasp ( Japanese_Dressing ) Move ( Dining_Sofa )
Well go to Kitchen_Table take camera bring it to Sofa .,Move ( Kitchen_Table ) Find ( camera Kitchen_Table ) Grasp ( camera ) Move ( Sofa )
Go to lobby take bell_pepper place it on Dining_Table okay .,Move ( lobby ) Find ( bell_pepper lobby ) Grasp ( bell_pepper ) Move ( Dining_Table )
Go to Kitchen_Room go to Kitchen_Table er leave the apartment .,Move ( Kitchen_Room ) Move ( Kitchen_Table ) Move ( apartment )
Well go to Dining_Sofa take pink_cup finally come back .,Move ( Dining_Sofa ) Grasp ( pink_cup ) Move ( HERE )
Go to Kitchen_Table find a person nearby er follow a person .,Move ( Kitchen_Table ) Find ( person Kitchen_Table ) Follow ( person )
Would you move to Living_Sofa Grasp Stick_Potato and come back .,Move ( Living_Sofa ) Grasp ( Stick_Potato ) Move ( HERE )
Go to Dining_Sofa take Cup_Noodle leave the apartment please .,Move ( Dining_Sofa ) Grasp ( Cup_Noodle ) Move ( apartment )
Go to Sofa and detect apple Grasp it .,Move ( Sofa ) Find ( apple Sofa ) Grasp ( apple ) 
Go to Visitor_Room Grasp soysauce throw it into Dustbin okay .,Move ( Visitor_Room ) Find ( soysauce Visitor_Room ) Grasp ( soysauce ) Move ( Dustbin ) Place ( soysauce Dustbin ) 
Go to Dining_Sofa move to Living_Sofa take rubik's_cube .,Move ( Dining_Sofa ) Move ( Living_Sofa ) Find ( rubik's_cube Dining_Sofa ) Grasp ( rubik's_cube ) Move ( HERE )
Go to Visitor_Room go to Dining_Sofa er leave the apartment .,Move ( Visitor_Room ) Move ( Dining_Sofa ) Move ( apartment )
Go to Dining_Table then detect Japanese_Dressing take it .,Move ( Dining_Table ) Find ( Japanese_Dressing Dining_Table ) Grasp ( Japanese_Dressing ) Move ( Japanese_Dressing )
Well get Cup_Noodle from Dining_Sofa go to Corridor go to Kitchen_Room .,Move ( Dining_Sofa ) Find ( Cup_Noodle Dining_Sofa ) Grasp ( Cup_Noodle ) Move ( Corridor ) Move ( Kitchen_Room )
Can you go to Visitor_Room get Cloth_Cleaner then come back .,Move ( Visitor_Room ) Find ( Cloth_Cleaner Visitor_Room ) Grasp ( Cloth_Cleaner ) Move ( HERE )
Would you go to Bar get soysauce carry it to Dining_Table .,Move ( Bar ) Find ( soysauce Bar ) Grasp ( soysauce ) Move ( Dining_Table )
Would you move to Side_Table take Strawberry_Juice then come back .,Move ( Side_Table ) Find ( Strawberry_Juice Side_Table ) Grasp ( Strawberry_Juice ) Move ( HERE )
Go to Visitor_Room take Japanese_Tea put it on Reception_Table please .,Move ( Visitor_Room ) Find ( Japanese_Tea Visitor_Room ) Grasp ( Japanese_Tea ) Move ( Reception_Table ) Place ( Japanese_Tea Reception_Table )
Well get Lemon_Tea from Side_Table go to bed_room move to Sofa .,Move ( Side_Table ) Grasp ( Lemon_Tea ) Move ( bed_room ) Move ( Sofa )
Go to Living_Sofa then detect cigarette take it .,Move ( Living_Sofa ) Find ( cigarette Living_Sofa ) Grasp ( cigarette ) Move ( cigarette )
Would you bring Strawberry_Juice from Sofa go to Living_Table go to Bar .,Move ( Sofa ) Place ( Strawberry_Juice Sofa ) Move ( Living_Table ) Move ( Living_Table ) 
Go to lobby Grasp Stick_Potato throw it into Dustbin please .,Move ( lobby ) Grasp ( Stick_Potato ) Move ( Dustbin ) Place ( Stick_Potato Dustbin ) 
Go to Dining_Room move to Bar finally leave the apartment .,Move ( Dining_Room ) Move ( Bar ) Move ( apartment )
Would you go to Side_Table get salt carry it to Bar .,Move ( Side_Table ) Find ( salt Side_Table ) Grasp ( salt ) Move ( Bar )
Go to Dining_Sofa get Seafood_Noodle exit from Corridor okay .,Move ( Dining_Sofa ) Find ( Seafood_Noodle Dining_Sofa ) Grasp ( Seafood_Noodle ) Move ( Corridor )
Would you go to Corridor Grasp Korean_Soup finally come back .,Move ( Corridor ) Find ( Korean_Soup Corridor ) Grasp ( Korean_Soup ) Move ( HERE )
Can you go to Dining_Sofa take Korean_Soup carry it to Dining_Table .,Move ( Dining_Sofa ) Find ( Korean_Soup Dining_Sofa ) Grasp ( Korean_Soup ) Move ( Dining_Table )
Go to Reception_Table Grasp Japanese_Dressing leave the apartment please .,Move ( Reception_Table ) Grasp ( Japanese_Dressing ) Move ( apartment )
Go to Living_Room move to Reception_Table then leave the apartment .,Move ( Living_Room ) Move ( Reception_Table ) Move ( apartment )
Can you move to Sofa get pink_cup then come back .,Move ( Sofa ) Grasp ( pink_cup ) Move ( HERE )
Can you move to Reception_Table get Orange_Juice then come back .,Move ( Reception_Table ) Grasp ( Orange_Juice ) Move ( HERE )
Well move to Bar Grasp rabbit_doll then come back .,Move ( Bar ) Move ( rabbit_doll ) Move ( HERE )
Can you go to Living_Sofa take canned_juice carry it to Dining_Sofa .,Move ( Living_Sofa ) Find ( canned_juice Living_Sofa ) Grasp ( canned_juice ) Move ( Dining_Sofa )
Go to bed_room go to Reception_Table then exit the apartment .,Move ( bed_room ) Move ( Reception_Table ) Move ( apartment )
Go to Dining_Sofa go to Living_Room and leave the apartment .,Move ( Dining_Sofa ) Move ( Living_Room ) Move ( apartment )
Go to Visitor_Room Grasp filled_ketchup place it on Dining_Table okay .,Move ( Visitor_Room ) Grasp ( filled_ketchup ) Move ( Dining_Table ) Place ( filled_ketchup Dining_Table )
Can you move to Living_Table get tumbler then come back .,Move ( Living_Table ) Grasp ( tumbler ) Move ( HERE )
Go to Reception_Table go to kitchen and leave the apartment .,Move ( Reception_Table ) Move ( kitchen ) Move ( apartment )
Would you go to bed_room Grasp Dish_Cleaner finally come back .,Move ( bed_room ) Find ( Dish_Cleaner bed_room ) Grasp ( Dish_Cleaner ) Move ( HERE )
Well move to Kitchen_Table Grasp Cup_Noodle then come back .,Move ( Kitchen_Table ) Move ( Cup_Noodle ) Move ( HERE )
Go to kitchen then find a person nearby bring Cup_Star from Dining_Sofa .,Move ( kitchen ) Find ( person kitchen ) Move ( Dining_Sofa ) Grasp ( Cup_Star )
Would you go to Side_Table take salt er come back .,Move ( Side_Table ) Find ( salt Side_Table ) Grasp ( salt ) Move ( HERE )
Well get Korean_Soup from Side_Table go to kitchen move to Dining_Table .,Move ( Side_Table ) Grasp ( Korean_Soup ) Move ( kitchen ) Move ( Dining_Table )
Go to Visitor_Room get Dish_Cleaner throw it into Dustbin please .,Move ( Visitor_Room ) Find ( Dish_Cleaner Visitor_Room ) Grasp ( Dish_Cleaner ) Move ( Dustbin ) Place ( Dish_Cleaner Dustbin )
Well move to Reception_Table get hourglass and come back .,Move ( Reception_Table ) Grasp ( hourglass ) Move ( Reception_Table ) Grasp ( hourglass ) Move ( HERE )
Move to Kitchen_Table go to Sofa then exit the apartment .,Move ( Kitchen_Table ) Move ( Sofa ) Move ( apartment )
Go to Sofa then detect Bleach take it .,Move ( Sofa ) Find ( Bleach Sofa ) Grasp ( Bleach ) Move ( Bleach )
Would you bring Korean_Soup from Bar move to Kitchen_Table go to Dining_Room .,Move ( Bar ) Find ( Korean_Soup Bar ) Move ( Kitchen_Table ) Move ( Dining_Room )
Well get Blue_Potato from Living_Table go to Dining_Room move to Kitchen_Table .,Move ( Living_Table ) Grasp ( Blue_Potato ) Move ( Dining_Room ) Move ( Kitchen_Table )
Go to kitchen take canned_juice place it on Dining_Sofa okay .,Move ( kitchen ) Find ( canned_juice kitchen ) Grasp ( canned_juice ) Move ( Dining_Sofa )
Go to Side_Table go to bed_room and exit the apartment .,Move ( Side_Table ) Move ( Side_Table ) Move ( apartment )
Move to Side_Table next detect white_cup get it .,Move ( Side_Table ) Find ( white_cup Side_Table ) Grasp ( white_cup )
Would you go to bed_room Grasp Brown_Tea finally come back .,Move ( bed_room ) Find ( Brown_Tea bed_room ) Grasp ( Brown_Tea ) Move ( HERE )
Go to Bar next detect cubic_clock take it .,Move ( Bar ) Find ( cubic_clock Bar ) Grasp ( cubic_clock )
Go to kitchen then find a person nearby bring filled_plastic_bottle from Sofa .,Move ( kitchen ) Find ( person kitchen ) Move ( Sofa ) Grasp ( filled_plastic_bottle )
Go to bed_room and find a person nearby bring white_cup from Kitchen_Table .,Move ( bed_room ) Find ( person bed_room ) Move ( Kitchen_Table ) Grasp ( white_cup ) Move ( person )
Go to Living_Room go to Living_Sofa then exit the apartment .,Move ( Living_Room ) Move ( Living_Sofa ) Move ( apartment )
Go to Reception_Table take spray_bottle put it on Bar okay .,Move ( Reception_Table ) Grasp ( spray_bottle ) Move ( Bar ) Place ( spray_bottle Reception_Table )
Move to Bar find a person nearby then follow a person .,Move ( Bar ) Find ( person Bar ) Follow ( pesron )
Well go to Dining_Sofa take Bath_Cleaner finally come back .,Move ( Dining_Sofa ) Grasp ( Bath_Cleaner ) Move ( HERE )
Go to Kitchen_Room go to Sofa then exit the apartment .,Move ( Kitchen_Room ) Move ( Sofa ) Move ( apartment )
Go to Dining_Room next find Strawberry_Juice Grasp it .,Move ( Dining_Room ) Find ( Strawberry_Juice Dining_Room ) Grasp ( Strawberry_Juice )
Move to Bar get Cloth_Cleaner exit from Living_Room okay .,Move ( Bar ) Find ( Cloth_Cleaner Bar ) Grasp ( Cloth_Cleaner ) Move ( Living_Room )
Can you go to bed_room get Chip_Star then come back .,Move ( bed_room ) Find ( Chip_Star bed_room ) Grasp ( Chip_Star ) Move ( HERE )
Go to Living_Sofa take sugar leave the apartment please .,Move ( Living_Sofa ) Grasp ( sugar ) Move ( apartment )
Would you go to lobby Grasp white_cup finally come back .,Move ( lobby ) Find ( white_cup lobby ) Grasp ( white_cup ) Move ( HERE )
Can you go to Dining_Sofa take Bath_Cleaner carry it to Living_Sofa .,Move ( Dining_Sofa ) Find ( Bath_Cleaner Dining_Sofa ) Grasp ( Bath_Cleaner ) Move ( Living_Sofa )
Move to Dining_Table Grasp Cup_Star leave the apartment please .,Move ( Dining_Table ) Find ( Cup_Star Dining_Table ) Grasp ( Cup_Star ) Move ( apartment )
Would you go to Bar take sugar er come back .,Move ( Bar ) Find ( sugar Bar ) Grasp ( sugar ) Move ( HERE )
Go to Visitor_Room go to Bar then exit the apartment .,Move ( Visitor_Room ) Move ( Bar ) Move ( apartment )
Would you go to lobby Grasp Bleach er come back .,Move ( lobby ) Find ( Bleach lobby ) Move ( HERE )
Would you move to Dining_Sofa get Lemon_Tea bring it to Reception_Table .,Move ( Dining_Sofa ) Find ( Lemon_Tea Dining_Sofa ) Grasp ( Lemon_Tea ) Move ( Reception_Table )
Go to Reception_Table take camera put it on Living_Table please .,Move ( Reception_Table ) Find ( camera Reception_Table ) Grasp ( camera ) Plcae ( camera Living_Table )
Can you go to Dining_Table take rubik's_cube carry it to Bar .,Move ( Dining_Table ) Find ( rubik's_cube Dining_Table ) Grasp ( rubik's_cube ) Move ( Bar )
Would you move to Reception_Table get Long_Potato bring it to Living_Table .,Move ( Reception_Table ) Find ( Long_Potato Reception_Table ) Grasp ( Long_Potato ) Move ( Living_Table )
Can you go to Reception_Table take Egg_Soup carry it to Bar .,Move ( Reception_Table ) Find ( Egg_Soup Reception_Table ) Grasp ( Egg_Soup ) Move ( Bar )
Go to Dining_Room Grasp Green_Tea place it on Sofa okay .,Move ( Dining_Room ) Grasp ( Green_Tea ) Move ( Sofa ) Place ( Green_Tea Sofa )
Well go to Living_Sofa take Orange_Juice finally come back .,Move ( Living_Sofa ) Grasp ( Orange_Juice ) Move ( HERE )
Would you move to Living_Table get Red_Tea bring it to Dining_Sofa .,Move ( Living_Table ) Find ( Red_Tea Living_Table ) Grasp ( Red_Tea ) Move ( Dining_Sofa )
Go to Visitor_Room go to Side_Table and exit from Living_Room .,Move ( Visitor_Room ) Move ( Side_Table ) Move ( Living_Room )
Move to Dining_Table get Blue_Potato place it on Living_Table okay .,Move ( Dining_Table ) Find ( Blue_Potato Dining_Table ) Grasp ( Blue_Potato ) Move ( Living_Table ) Place ( Blue_Potato Dining_Table )
Go to Dining_Sofa move to Side_Table take Stick_Potato .,Move ( Dining_Sofa ) Move ( Side_Table ) Find ( Stick_Potato Dining_Sofa ) Grasp ( Stick_Potato ) Move ( HERE )
Go to Dining_Sofa find a person nearby er follow a person .,Move ( Dining_Sofa ) Find ( person Dining_Sofa ) Follow ( person )
